ID_REF,SRR1027183,SRR1027184,SRR1027185,SRR1027186,SRR1027187,SRR1027188,SRR1027189,SRR1027190
IKZF2,538,139,586,128,170,48,78,98
GRN,944,644,1120,996,442,1926,1740,1611
FAM13B,397,421,464,701,162,547,707,912
ARHGAP31,430,441,452,266,170,388,1037,1924
CENPQ,49,129,42,55,55,20,31,27
SARS1,341,564,358,243,183,2740,2769,3243
RANBP3,202,220,225,187,122,418,553,549
ARID4A,412,352,397,313,119,336,719,835
EIPR1,118,171,228,67,60,209,150,73
PNPLA6,165,190,306,146,91,363,373,312
IFT88,214,217,110,124,70,221,145,226
ALG1,65,63,49,46,90,73,57,51
ZCCHC8,148,311,172,141,57,380,609,496
ABCF2,43,152,51,32,38,197,243,311
CHPF2,258,503,383,244,181,430,429,532
LRRC7,22,28,24,24,3,7,13,13
FUT8,451,488,484,318,89,354,541,661
UBA6,993,1584,1436,1265,315,612,1376,1115
GAB2,309,123,144,102,55,559,1342,1501
ATP6V0A1,394,324,285,258,139,1076,1168,1213
PIAS1,551,648,640,548,214,503,865,1540
SLC4A7,927,1858,843,372,307,961,2299,3117
APBA2,51,109,27,14,6,63,131,89
MAP2K3,86,118,412,68,32,2673,4465,6127
EFCAB1,7,1,0,1,2,56,23,49
TMSB10,1792,1382,2319,1633,2234,9048,7022,5722
ASTE1,63,116,96,68,36,48,39,68
RNF19A,2425,9826,1122,1435,749,1467,3080,2838
PEX3,106,263,119,83,63,159,137,199
GABARAPL2,285,507,818,257,176,1046,1172,1036
MYOC,1,0,2,0,0,17,24,16
SH3YL1,291,502,294,344,143,1372,1533,934
FAM136A,175,284,360,104,99,330,289,213
VCL,1341,1607,1187,853,713,2771,7491,6274
DEPDC1B,60,147,85,67,8,20,30,16
DAPK2,38,122,80,74,13,178,406,201
NSMAF,324,637,238,261,160,599,844,717
ADSS2,602,1412,551,1003,361,556,863,870
STAP1,26,7,30,19,6,1,6,8
TIMP2,991,680,644,741,729,2512,4110,10258
RFC1,650,880,503,374,202,603,778,970
TBC1D23,446,626,584,407,185,605,1167,1066
CUL3,598,923,545,378,160,1753,1088,1600
MYOM2,3,0,2,4,2,30,51,39
OTC,0,0,0,0,1,0,1,0
CYP46A1,10,9,5,0,9,21,35,36
AC118549.1,498,1431,667,668,193,601,923,1004
SLC18A1,4,1,1,0,3,0,0,1
USP2,7,5,1,0,2,197,131,306
CASR,2,1,0,2,0,0,0,0
TUBG2,13,53,23,25,16,214,163,163
RPL26L1,27,53,44,28,15,150,94,81
FLT4,72,46,39,50,35,182,321,335
NSUN2,960,1200,595,438,679,884,1067,1218
FBXO42,276,429,386,272,130,300,451,550
MFAP3,220,248,352,324,117,145,212,444
MRI1,44,176,48,44,37,213,238,122
METTL1,29,92,42,58,59,176,241,222
HOXC8,9,14,10,9,11,27,21,36
AGA,81,323,99,206,79,467,290,255
PI4K2B,194,225,189,98,75,114,167,134
BOD1L1,1079,1189,857,641,296,438,750,1193
MAT2B,368,364,465,415,142,477,566,676
TLL1,60,14,36,54,55,45,205,226
EDC4,204,280,208,146,87,386,607,493
TRIO,2483,2411,1449,1640,941,1122,2509,2771
VCAN,5321,3862,4016,5832,3165,496,3424,3867
CLEC16A,244,307,198,136,104,295,446,463
MSR1,638,407,957,931,259,43,99,57
CDH1,3741,5070,2441,1365,2541,4967,8710,11536
MTREX,493,861,695,497,192,824,1091,1455
DNAH5,328,9,213,138,110,402,230,178
ZFYVE16,843,864,951,807,237,362,886,1232
RIPOR1,174,219,123,109,42,819,1128,1389
C6,5,32,6,5,6,13,3,8
RAI14,428,636,252,326,163,449,953,1160
SOX30,2,0,2,3,0,3,1,6
PNKP,78,53,66,101,47,415,257,191
BEST2,2,1,0,0,2,5,1,2
PHLPP2,256,725,314,205,117,246,423,770
SPDL1,108,243,208,158,45,81,95,95
STAU2,312,326,341,518,215,351,395,464
SLC66A1,37,24,26,19,34,85,74,96
CTNS,50,81,49,68,39,129,167,149
RTN4R,16,16,15,20,7,24,34,53
PHF23,118,214,136,139,102,677,761,873
CDH10,0,0,17,0,0,0,0,0
INPP4A,519,754,760,334,172,208,386,400
RAB27B,1087,101,911,562,410,596,454,463
PSMA4,591,723,1130,751,251,818,860,665
MYO16,16,0,12,3,4,4,3,8
LSG1,270,730,267,221,90,708,693,1063
PARP3,40,92,56,36,36,474,398,344
TNC,1988,1546,1583,1028,646,3809,10584,7510
THAP3,16,7,21,31,16,120,125,152
RIPOR3,99,34,74,28,16,71,95,165
TDP1,158,257,214,176,61,174,212,184
AIFM2,55,43,53,59,32,131,130,146
C2orf83,1,1,0,0,0,1,1,0
AL049834.1,84,53,66,54,39,129,133,92
MED17,96,141,118,59,23,138,182,176
RETSAT,256,242,290,262,275,1090,606,607
CAPG,357,246,602,379,164,1674,708,643
AP2S1,124,90,226,121,174,592,507,358
USH2A,20,16,12,13,3,6,0,1
ZPBP,0,0,0,0,0,1,1,1
TG,19,8,11,22,3,3,9,4
ADAM28,595,244,509,138,69,110,113,41
BARX2,23,7,29,24,14,823,558,1058
DCUN1D1,467,927,622,449,128,190,415,412
JADE2,257,420,221,260,100,298,329,461
ZIC2,6,1,22,0,9,3,0,0
LCP2,555,270,586,284,87,183,276,420
TRIT1,137,591,153,134,33,215,238,184
ADRB1,3,8,3,4,4,6,7,6
GUCA2B,0,0,0,0,0,0,0,0
