ID_REF,SRR1027177,SRR1027178,SRR1027179,SRR1027180,SRR1027181,SRR1027182,SRR1027188,SRR1027189,SRR1027190
PGLYRP1,2,3,15,1,7,3,0,2,0
NFIX,350,224,296,384,402,62,1698,1913,2964
ST3GAL1,773,1633,1818,459,1179,650,795,2092,2328
MMP25,16,22,13,7,5,56,70,40,30
IL32,227,59,104,81,96,65,627,665,239
PKD1,250,352,258,230,151,203,447,607,566
MAPK8IP2,741,266,129,26,397,536,80,58,61
MED24,574,506,534,249,594,403,789,1750,1914
RHOBTB2,159,177,129,173,165,78,207,266,299
HEATR5B,1876,635,781,510,852,486,520,676,821
SEC62,6679,1377,1921,1238,2441,1171,1813,2405,3320
RPS20,2103,1111,1292,889,1668,743,7623,5504,4091
CSDE1,8323,3754,3514,4187,4833,2739,11894,10692,13002
UBE3C,1419,1192,1063,983,1314,1185,855,1435,1594
REV3L,778,390,548,969,595,259,378,827,1239
TENM1,68,22,34,41,39,8,31,92,79
PAX7,7,9,11,5,6,6,0,0,0
MASP2,15,18,18,22,21,13,25,33,31
IYD,9,19,24,11,27,6,1,21,0
FAM76A,339,156,149,133,149,113,99,114,168
TRAF3IP3,145,58,86,53,97,50,29,25,17
POMT2,133,135,105,136,156,117,321,349,326
VTA1,1838,368,493,349,651,194,431,460,466
MLXIPL,9,11,17,35,32,24,32,46,11
BAZ1B,1325,861,1017,978,1091,807,913,1227,2396
RANBP9,852,546,593,341,488,626,772,812,1218
ETV7,88,12,12,24,27,15,21,36,26
SPRTN,300,105,97,127,113,86,92,121,235
EEF1AKNMT,978,491,578,279,687,228,461,239,292
DYRK4,83,108,105,108,122,78,117,97,76
ZNF207,1665,1171,1240,982,1107,879,2656,3633,3274
UQCRC1,973,1179,564,492,810,616,1966,1288,859
STARD3NL,693,161,164,202,211,103,268,344,271
CD9,3815,2811,1932,1927,3733,1089,5126,5133,4625
HHATL,3,7,5,6,12,4,8,3,1
NCAPD2,604,423,359,295,521,298,246,339,276
IFFO1,132,81,97,129,76,36,137,130,129
GIPR,67,27,29,25,38,13,30,51,36
PHF7,81,76,44,50,65,74,88,56,89
SEMA3G,70,62,77,219,72,53,424,1100,1223
NISCH,568,819,554,525,547,465,1221,1464,1429
STAB1,905,477,506,956,608,255,346,569,482
FUZ,110,111,79,48,88,83,233,198,106
SLC6A13,8,16,9,7,12,9,15,4,0
IDS,1163,875,1167,751,1133,610,1388,1090,2495
PRSS3,5,6,7,2,7,2,4,2,0
ZNF200,192,103,88,86,92,86,84,61,111
CD4,703,228,294,571,440,347,399,445,290
LRRC23,56,81,51,31,71,48,164,81,79
BTK,137,46,78,88,76,54,43,24,30
HFE,126,86,142,161,172,163,164,193,155
SCMH1,730,235,271,269,277,169,713,674,684
FYN,228,155,175,208,108,83,312,723,1085
HIVEP2,485,296,428,483,323,93,1710,5307,12307
FMO1,97,40,51,89,46,19,130,377,304
ELOA,1108,385,367,354,482,259,790,984,1469
LYPLA2,583,159,132,148,193,104,359,352,291
CLCN6,197,145,180,150,153,94,275,297,304
MRC2,368,504,669,1258,496,142,744,2105,2859
NME1_NME2,6,3,1,0,11,3,9,8,9
SLC6A7,9,14,26,21,34,6,2,9,1
TSPAN9,754,328,429,465,469,154,837,1109,1329
BTBD7,729,345,420,624,652,169,487,761,1081
APBA3,90,117,55,70,59,34,172,208,123
MKS1,156,200,132,52,119,36,123,119,93
ABHD5,423,560,358,295,346,281,1247,1205,1649
ANOS1,228,179,320,235,490,63,140,268,372
AKAP8L,180,115,127,83,120,98,838,757,1198
MBTD1,626,759,635,248,505,226,241,417,379
UTP18,619,445,411,152,439,188,589,818,766
RNF216,969,424,401,486,437,336,319,604,676
TTC19,108,242,168,161,150,262,869,950,641
PTBP1,1028,762,654,620,564,596,4142,5213,5832
DPF1,19,4,9,5,13,2,22,27,67
SYT7,618,390,430,118,910,1435,782,1222,964
LARS2,219,356,208,177,190,202,179,281,243
PIK3C2A,1513,824,1337,1066,1371,816,606,1387,1763
PLAUR,332,108,97,217,119,133,1412,1673,1532
ANLN,524,120,156,78,96,103,58,127,41
WIZ,237,163,144,185,145,146,443,732,861
RABGAP1,1529,1156,1003,662,1132,601,691,1290,1637
DCN,6697,3822,5264,22327,4544,1847,16052,26377,27540
QPCTL,159,110,97,51,111,81,169,228,141
PPP5C,727,489,528,205,472,222,556,576,412
CEP68,506,412,423,304,378,192,233,339,537
MAP4K3,1236,399,523,394,588,274,347,768,1012
ZBTB32,20,40,33,10,22,20,15,8,1
TYROBP,702,141,189,362,370,119,88,82,62
TMEM159,765,198,359,193,268,96,794,1526,1180
GABRA3,9,21,18,8,20,4,0,0,0
BRCA1,74,332,381,129,338,325,57,73,67
ERCC1,349,348,277,268,364,219,913,806,830
